French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
frère,brother
car,because
eux,them
chaque,each
arrivé,come
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
écoute,listen
dont,whose
trouve,find
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
